Date,Close(CCI30 index)
2019/01/22,2085.79
2019/01/21,2050.6
2019/01/20,2057.42
2019/01/19,2135.84
2019/01/18,2093.44
2019/01/17,2125.28
2019/01/16,2105.66
2019/01/15,2073.34
2019/01/14,2139.1
2019/01/13,2003.56
2019/01/12,2111.88
2019/01/11,2123.34
2019/01/10,2129.3
2019/01/09,2415.8
2019/01/08,2383.85
2019/01/07,2359.88
2019/01/06,2415.7
2019/01/05,2298.61
2019/01/04,2291.98
2019/01/03,2267.81
2019/01/02,2360.7
2019/01/01,2305.54
2018/12/31,2179.2
2018/12/30,2323.28
2018/12/29,2303.58
2018/12/28,2357.91
2018/12/27,2123.81
2018/12/26,2323.14
2018/12/25,2295.3
2018/12/24,2472.66
2018/12/23,2405.71
2018/12/22,2328.32
2018/12/21,2263.63
2018/12/20,2362.58
2018/12/19,2102.35
2018/12/18,2077.55
2018/12/17,1963.78
2018/12/16,1758.97
2018/12/15,1734.39
2018/12/14,1734.35
2018/12/13,1800.28
2018/12/12,1875.42
2018/12/11,1838.21
2018/12/10,1883.46
2018/12/09,1923.93
2018/12/08,1888.61
2018/12/07,1871.39
2018/12/06,1901.16
2018/12/05,2095.14
2018/12/04,2234.01
2018/12/03,2217.22
2018/12/02,2368.48
2018/12/01,2403.85
2018/11/30,2306.46
2018/11/29,2442.37
2018/11/28,2469.86
2018/11/27,2232.21
2018/11/26,2203.01
2018/11/25,2330.21
2018/11/24,2289.91
2018/11/23,2533.86
2018/11/22,2583.36
2018/11/21,2751.56
2018/11/20,2631.22
2018/11/19,2966.01
2018/11/18,3424.85
2018/11/17,3377.44
2018/11/16,3376.97
2018/11/15,3454.82
2018/11/14,3485.89
2018/11/13,3899.46
2018/11/12,3963.6
2018/11/11,3972.72
2018/11/10,3989.86
2018/11/09,3956.77
2018/11/08,4007.82
2018/11/07,4131.09
2018/11/06,4157.32
2018/11/05,3990.64
2018/11/04,3952.9
2018/11/03,3836.78
2018/11/02,3846.49
2018/11/01,3791.33
2018/10/31,3746.34
2018/10/30,3742.24
2018/10/29,3735.09
2018/10/28,3892.32
2018/10/27,3862.57
2018/10/26,3886.99
2018/10/25,3893.97
2018/10/24,3925.81
2018/10/23,3940.95
2018/10/22,3927.67
2018/10/21,3926.98
2018/10/20,3929.15
